from_currency,to_currency,rate,date
USD,USD,1.0000,2025-01-01
EUR,EUR,1.0000,2025-01-01
GBP,GBP,1.0000,2025-01-01
USD,EUR,0.9200,2025-01-01
EUR,USD,1.0870,2025-01-01
USD,GBP,0.7900,2025-01-01
GBP,USD,1.2660,2025-01-01
EUR,GBP,0.8590,2025-01-01
GBP,EUR,1.1640,2025-01-01
USD,EUR,0.9200,2025-02-01
EUR,USD,1.0870,2025-02-01
USD,GBP,0.7900,2025-02-01
GBP,USD,1.2660,2025-02-01
EUR,GBP,0.8590,2025-02-01
GBP,EUR,1.1640,2025-02-01
USD,EUR,0.9200,2025-03-01
EUR,USD,1.0870,2025-03-01
USD,GBP,0.7900,2025-03-01
GBP,USD,1.2660,2025-03-01
EUR,GBP,0.8590,2025-03-01
GBP,EUR,1.1640,2025-03-01
