payment_option_id,request_id,option_type,number_of_payments,payment_dates,amounts,total_amount,currency
PO001,REQ001,full_payment,1,2025-01-05,500.00,500.00,USD
PO002,REQ001,installments,3,"2025-01-05,2025-02-05,2025-03-05","175.00,175.00,150.00",500.00,USD
PO003,REQ002,full_payment,1,2025-01-10,1200.00,1200.00,USD
PO004,REQ002,installments,4,"2025-01-10,2025-02-10,2025-03-10,2025-04-10","300.00,300.00,300.00,300.00",1200.00,USD
PO005,REQ003,full_payment,1,2025-01-08,300.00,300.00,EUR
PO006,REQ004,full_payment,1,2025-01-15,2500.00,2500.00,EUR
PO007,REQ004,installments,3,"2025-01-15,2025-02-15,2025-03-15","850.00,850.00,800.00",2500.00,EUR
PO008,REQ005,full_payment,1,2025-01-03,150.00,150.00,GBP
PO009,REQ006,full_payment,1,2025-01-12,800.00,800.00,GBP
PO010,REQ006,installments,4,"2025-01-12,2025-02-12,2025-03-12,2025-04-12","200.00,200.00,200.00,200.00",800.00,GBP
PO011,REQ007,full_payment,1,2025-01-20,450.00,450.00,USD
PO012,REQ008,full_payment,1,2025-01-06,2000.00,2000.00,USD
PO013,REQ008,installments,5,"2025-01-06,2025-02-06,2025-03-06,2025-04-06,2025-05-06","400.00,400.00,400.00,400.00,400.00",2000.00,USD
PO014,REQ009,full_payment,1,2025-01-18,75.00,75.00,USD
PO015,REQ010,full_payment,1,2025-01-22,600.00,600.00,EUR
PO016,REQ011,full_payment,1,2025-01-25,1000.00,1000.00,GBP
PO017,REQ011,installments,3,"2025-01-25,2025-02-25,2025-03-25","340.00,330.00,330.00",1000.00,GBP
PO018,REQ012,full_payment,1,2025-02-01,350.00,350.00,USD
PO019,REQ013,full_payment,1,2025-02-03,2000.00,2000.00,USD
PO020,REQ013,installments,4,"2025-02-03,2025-03-03,2025-04-03,2025-05-03","500.00,500.00,500.00,500.00",2000.00,USD
PO021,REQ014,full_payment,1,2025-02-10,400.00,400.00,EUR
PO022,REQ015,full_payment,1,2025-02-14,120.00,120.00,GBP
